中心アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,右アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,左アンテナ-受信時刻,timestamp,緯度,経度,高度＋ジオイド高,品質,現在の車体中心の緯度,現在の車体中心の経度,現在の車体の方位角,車体姿勢,目標の緯度,目標の経度,目標の方位角,目標位置と現在位置の距離,目標位置と現在姿勢の方位角の差
1729999744.3275297,1729967344.2,36.0832071383,140.0776892017,65.465,4,1729999744.3339615,1729967344.2,36.083204705,140.07769305,65.485,4,1729999744.3405743,1729967344.2,36.083209,140.07769352,65.484,4,36.08320715139682,140.07768906526084,84.8921200343957,-5.1078799656043,36.08320625314847,140.07770721240365,-3.8954236043413095,2.557514386779279,1.4723433715909429
1729999744.5499601,1729967344.4,36.08320713,140.0776892133,65.464,4,1729999744.5549183,1729967344.4,36.0832046933,140.0776930433,65.485,4,1729999744.5531743,1729967344.4,36.0832089983,140.0776935183,65.483,4,36.08320715678623,140.0776890826226,84.9132491535597,-5.086750846440292,36.08320625314847,140.07770721240365,-3.8954236043413095,2.555991794272848,1.4356133112060754
1729999744.7478416,1729967344.6,36.0832071317,140.077689185,65.464,4,1729999744.7333126,1729967344.6,36.0832047317,140.0776930583,65.47999999999999,4,1729999744.7487104,1729967344.6,36.083209,140.0776935117,65.487,4,36.083207152588905,140.07768907869763,84.87130036069257,-5.128699639307427,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5563149806045407,1.4884842649684393
1729999744.9199016,1729967344.8,36.083207125,140.077689175,65.467,4,1729999744.9260495,1729967344.8,36.0832047267,140.0776930983,65.479,4,1729999744.932882,1729967344.8,36.0832090133,140.0776935067,65.487,4,36.08320716129233,140.077689081669,85.06146535777286,-4.938534642227146,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5561093957196754,1.2763348231721396
1729999745.172792,1729967345.0,36.0832071683,140.0776891783,65.472,4,1729999745.1815484,1729967345.0,36.08320471,140.077693115,65.485,4,1729999745.1849623,1729967345.0,36.0832090133,140.0776935,65.49,4,36.08320713517579,140.0776890961197,85.56846209349636,-4.43153790650363,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5546269400527084,0.8323357194954059
1729999745.5317106,1729967345.4,36.0832071567,140.0776891967,65.469,4,1729999745.5409372,1729967345.4,36.0832047067,140.077693095,65.48599999999999,4,1729999745.5283608,1729967345.4,36.083209025,140.0776935167,65.485,4,36.08320711074987,140.0776890996348,85.83760703355863,-4.162392966441375,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5541422307019617,0.6234241105147419
1729999745.7377777,1729967345.6,36.083207155,140.0776891983,65.471,4,1729999745.7348561,1729967345.6,36.083204725,140.0776930717,65.487,4,1729999745.7283254,1729967345.6,36.0832090217,140.077693535,65.485,4,36.083207137610486,140.0776891001049,85.45819251776115,-4.541807482238849,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5542856828691143,0.936051885328478
1729999745.939289,1729967345.8,36.0832071733,140.0776891683,65.471,4,1729999745.7348561,1729967345.6,36.083204725,140.0776930717,65.487,4,1729999745.968521,1729967345.8,36.0832090283,140.0776935467,65.485,4,36.083207173214134,140.07768910049225,84.98736387050205,-5.012636129497947,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5545023647792227,1.3183973539192602
1729999746.1625295,1729967346.0,36.0832071767,140.0776892217,65.475,4,1729999746.1780214,1729967346.0,36.083204735,140.077693135,65.484,4,1729999746.1720452,1729967346.0,36.0832090317,140.0776935667,65.481,4,36.083207183559125,140.07768910711087,84.86928509305793,-5.130714906942074,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5539817080118956,1.4099163821190506
1729999746.3338535,1729967346.2,36.0832071817,140.077689205,65.474,4,1729999746.3602295,1729967346.2,36.0832047467,140.0776931117,65.487,4,1729999746.3626654,1729967346.2,36.0832090167,140.0776935917,65.485,4,36.08320716290213,140.07768914587675,85.32768903192671,-4.672310968073292,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5503495558858034,0.9978076894492507
1729999746.5642643,1729967346.4,36.0832071783,140.07768943,65.471,4,1729999746.5719528,1729967346.4,36.083204725,140.0776933583,65.48599999999999,4,1729999746.5788844,1729967346.4,36.0832090333,140.0776938033,65.47999999999999,4,36.08320719421199,140.07768915023502,84.77536195896771,-5.224638041032297,36.08320625314847,140.07770721240365,-3.8954236043413095,2.5501828608613932,1.4716749327836096
1729999746.786533,1729967346.6,36.0832071617,140.0776899133,65.481,4,1729999746.7959008,1729967346.6,36.0832047,140.077693795,65.489,4,1729999746.7920613,1729967346.6,36.08320903,140.077694265,65.488,4,36.083207166484634,140.07768937661965,85.19731423177042,-4.802685768229575,36.08320625314847,140.07770721240365,-3.8954236043413095,2.529635588810022,1.0890292727884376
1729999746.9436684,1729967346.8,36.0832070983,140.0776905267,65.483,4,1729999746.9485297,1729967346.8,36.083204715,140.07769442,65.499,4,1729999746.945184,1729967346.8,36.0832089783,140.0776948333,65.49199999999999,4,36.083207166845746,140.07768982735658,84.95415295568074,-5.045847044319256,36.08320625314847,140.07770721240365,-3.8954236043413095,2.4891274840862536,1.2707430799629806
1729999747.3469994,1729967347.2,36.08320699,140.0776920133,65.481,4,1729999747.3323748,1729967347.2,36.0832046283,140.0776959083,65.499,4,1729999747.3447955,1729967347.2,36.0832089033,140.077696295,65.493,4,36.083207116445536,140.0776904207137,85.49109996971443,-4.508900030285574,36.08320625314847,140.07770721240365,-3.8954236043413095,2.4354330908616273,0.7822967320776715
1729999747.5579867,1729967347.4,36.0832069633,140.0776928767,65.477,4,1729999747.5522327,1729967347.4,36.0832045883,140.0776968183,65.494,4,1729999747.5376468,1729967347.4,36.0832088667,140.0776971633,65.488,4,36.08320701764132,140.07769189403143,85.79171609063712,-4.208283909362882,36.08320625314847,140.07770721240365,-3.8954236043413095,2.3023021755666297,0.5392983914750004
1729999747.7673154,1729967347.6,36.0832069233,140.077693955,65.479,4,1729999747.7620702,1729967347.6,36.0832045417,140.07769785,65.5,4,1729999747.751573,1729967347.6,36.083208825,140.0776982417,65.494,4,36.083206952129515,140.0776927808536,86.24711803854001,-3.7528819614599898,36.08320625314847,140.07770721240365,-3.8954236043413095,2.2221266547225036,0.13915042264027627
1729999747.949427,1729967347.8,36.0832068417,140.0776951333,65.47999999999999,4,1729999747.9580991,1729967347.8,36.083204465,140.07769906,65.49199999999999,4,1729999747.9601598,1729967347.8,36.08320877,140.077699425,65.49199999999999,4,36.08320693793817,140.07769383848128,85.74573188512834,-4.25426811487167,36.08320625314847,140.07770721240365,-3.8954236043413095,2.126962074483659,0.5211308629273657
